Trondheim N3031;Leangen 2024;Trondheim 2023;Trondheim ekstrem
0.83;5.40;-5.10;0.00
0.38;4.90;-5.70;0.00
0.53;4.30;-8.40;0.00
-0.12;3.70;-8.20;-0.10
-0.57;3.10;-9.60;-0.30
-0.62;2.50;-9.80;-0.30
-0.92;1.90;-10.70;-0.60
-1.22;1.60;-11.00;-0.70
-1.32;1.30;-12.00;-0.90
-1.27;1.00;-12.20;-1.20
-0.62;1.10;-12.70;-1.40
1.13;2.00;-11.30;-1.40
3.63;2.80;-8.70;-1.00
5.28;4.00;-6.50;-0.80
5.68;5.20;-2.90;0.00
5.88;6.20;-2.60;0.70
6.33;6.90;-1.90;0.30
5.98;7.40;-0.80;1.00
6.38;7.60;0.70;0.90
6.53;7.30;0.70;0.50
5.73;6.80;0.20;0.40
5.03;6.10;-0.50;0.20
4.58;5.30;-3.00;-0.10
4.63;4.50;-4.70;-0.30
4.38;3.80;-4.40;-0.60
4.43;3.00;-4.80;-0.60
4.33;2.20;-5.60;-0.70
3.98;1.40;-6.50;-1.00
3.73;0.50;-7.40;-1.10
3.83;-0.40;-8.50;-1.00
3.73;-0.90;-10.70;-1.20
3.93;-1.30;-10.60;-1.30
4.33;-1.70;-10.60;-1.20
4.23;-1.70;-12.20;-1.30
4.43;-1.10;-10.60;-1.20
5.28;-0.10;-9.60;-1.00
5.13;1.30;-4.60;-1.00
4.88;3.00;-3.20;-0.90
5.33;4.70;-2.70;-0.40
6.73;6.30;-2.30;-0.10
8.08;7.70;-1.60;1.10
8.68;8.60;-1.30;0.80
6.43;9.00;-0.90;0.90
5.33;9.00;-0.70;0.70
5.53;8.50;-0.80;0.40
6.48;7.60;-1.30;-0.30
5.78;6.30;-3.90;-0.70
5.48;5.30;-5.00;-0.80
5.08;4.20;-4.40;-1.20
4.73;3.10;-4.80;-1.20
4.58;2.00;-7.00;-1.40
4.08;1.00;-6.70;-1.60
3.88;0.10;-9.60;-1.80
3.98;-0.80;-9.40;-1.80
3.83;-1.20;-10.10;-1.70
3.28;-1.60;-11.20;-1.50
2.68;-2.00;-10.90;-1.30
2.63;-2.00;-11.00;-1.40
3.13;-1.20;-9.60;-1.40
3.63;0.20;-7.10;-1.20
5.33;1.90;-5.70;-0.80
5.93;3.80;-4.50;0.10
6.58;5.50;-3.20;0.60
7.03;7.00;-2.20;1.90
7.13;8.10;-0.50;2.40
7.53;8.80;0.90;3.30
7.73;9.30;1.40;2.80
7.48;9.40;1.60;2.90
6.98;8.90;1.20;2.40
6.23;8.00;0.10;2.10
4.73;6.70;-1.60;1.60
4.93;5.80;-2.10;1.20
4.63;4.80;-2.70;1.20
4.43;3.80;-4.80;1.20
5.03;2.80;-4.60;0.90
4.78;1.90;-4.60;0.30
4.73;1.10;-4.50;-0.30
5.43;0.30;-6.70;3.00
5.68;0.00;-6.50;3.20
5.93;-0.40;-7.00;2.30
6.48;-0.60;-8.20;2.70
6.43;-0.50;-8.20;3.10
6.93;0.30;-6.50;4.00
8.03;1.70;-3.80;5.10
8.13;3.30;-3.20;5.60
7.73;5.00;-1.90;5.70
8.33;6.60;-1.10;6.60
8.73;8.00;-0.50;7.30
9.63;9.20;1.40;7.10
10.18;10.10;1.80;7.60
9.93;10.50;2.20;7.60
9.63;10.70;3.00;7.60
10.39;10.40;2.80;7.10
9.76;9.70;2.00;7.10
9.12;8.60;-0.50;7.10
8.49;7.30;-1.00;6.80
7.86;6.10;-1.60;6.90
7.22;4.80;-2.80;6.70
6.59;3.40;-3.00;6.60
5.96;2.00;-4.00;6.20
5.33;0.70;-5.90;6.20
4.69;-0.70;-5.70;5.50
4.06;-2.10;-7.20;4.80
3.43;-3.10;-7.80;5.30
2.80;-3.70;-8.80;4.30
2.16;-3.90;-8.30;5.00
1.53;-3.50;-8.50;5.60
0.90;-2.80;-6.70;6.20
4.23;-2.00;-2.00;6.10
5.93;-1.20;-0.60;6.50
7.28;-0.50;-0.10;6.60
8.23;0.10;1.40;5.60
8.68;0.50;2.40;4.90
9.58;0.80;3.20;4.60
9.88;0.90;3.30;4.50
9.78;0.80;3.60;5.10
8.98;0.50;3.60;5.70
7.33;0.00;3.00;5.00
6.08;-0.80;0.60;4.80
6.83;-1.60;1.00;5.10
6.13;-2.30;0.40;3.50
5.38;-3.10;-2.70;4.50
5.33;-3.80;-3.70;4.80
4.58;-4.50;-2.90;5.60
3.53;-4.60;-4.50;5.70
3.83;-4.60;-4.10;5.30
3.23;-4.60;-5.60;5.00
2.38;-4.50;-6.50;5.20
3.28;-4.50;-7.00;4.50
3.38;-4.50;-7.70;4.50
3.63;-3.80;-7.10;4.70
3.53;-2.80;-4.30;4.60
4.48;-1.50;-2.70;5.60
6.43;-0.40;1.80;6.20
8.28;0.80;2.20;6.40
9.28;1.70;3.50;7.00
9.93;2.50;5.20;7.60
10.18;3.10;5.40;7.40
9.83;3.30;6.70;7.60
9.28;3.40;6.20;8.30
8.18;3.00;5.80;7.40
6.18;2.40;4.20;7.00
4.33;1.70;2.30;6.40
3.83;0.90;2.20;5.60
2.38;0.10;2.40;5.00
1.28;-0.70;-0.80;5.00
1.48;-1.50;-1.10;4.90
1.28;-2.30;-1.10;4.40
1.23;-3.10;0.10;4.40
2.28;-4.10;-0.40;3.80
2.18;-4.60;-0.50;2.90
2.08;-5.10;-0.90;3.10
2.58;-5.50;-1.40;2.40
2.63;-5.60;-1.40;3.20
2.98;-5.00;-1.60;3.50
3.13;-4.10;0.00;4.20
3.88;-3.10;1.30;4.40
4.33;-2.00;1.60;5.70
4.43;-1.10;3.50;6.40
4.38;-0.30;5.30;6.80
4.88;0.40;6.10;7.20
4.98;0.80;6.50;8.20
4.63;1.00;6.50;8.10
4.93;1.00;6.70;8.60
4.63;0.60;6.10;8.90
3.98;0.00;5.70;8.70
3.38;-0.90;5.10;7.10
3.28;-1.70;4.20;6.40
2.43;-2.40;4.00;5.50
1.68;-3.20;4.20;5.00
1.23;-3.90;3.90;3.30
0.78;-4.60;3.90;2.90
0.53;-4.70;3.80;2.60
0.83;-4.90;2.20;1.60
0.93;-5.10;1.90;1.70
1.08;-5.20;1.60;1.90
1.33;-5.30;1.80;1.90
1.28;-5.30;1.50;2.90
2.03;-4.30;1.80;1.10
2.38;-3.00;2.20;4.00
2.83;-1.50;5.60;6.00
3.03;0.00;6.80;7.20
3.13;1.30;7.10;8.50
3.43;2.40;6.70;8.80
3.83;3.30;7.00;9.30
4.28;3.90;7.00;9.40
4.43;4.10;7.90;9.20
5.58;4.10;6.90;9.40
4.68;3.70;7.70;8.90
4.28;2.90;7.20;8.40
3.68;1.90;5.20;7.70
2.93;0.80;4.20;6.60
2.43;1.10;3.20;5.70
2.13;1.50;2.10;5.40
2.63;1.80;4.30;5.60
1.53;2.10;2.30;5.80
0.93;2.40;4.50;4.40
1.18;2.70;2.10;3.60
0.88;2.80;1.10;2.00
0.58;3.00;1.80;3.50
0.13;3.10;0.40;1.50
-0.12;3.20;0.70;2.00
0.38;3.30;1.10;3.30
1.53;3.50;2.60;4.60
2.18;3.70;6.30;4.10
3.13;4.10;7.60;6.40
4.13;5.00;9.00;7.80
4.78;6.70;9.80;8.80
4.63;7.10;10.20;8.50
5.38;7.50;11.10;8.90
3.83;8.40;10.80;9.30
4.48;8.90;10.80;9.10
4.43;9.20;10.30;8.60
3.53;9.30;9.80;7.90
2.43;8.90;8.50;6.80
1.98;8.30;7.20;5.70
1.58;7.80;6.40;5.10
1.58;7.30;5.20;4.90
1.63;6.80;5.00;4.20
1.58;6.30;6.00;3.80
1.53;5.60;5.70;3.60
1.63;4.70;5.40;3.00
1.63;4.20;4.90;2.10
1.58;3.80;4.70;2.60
1.48;3.40;2.50;2.40
1.33;3.40;3.30;2.10
1.43;3.60;4.10;2.90
1.53;4.30;5.30;4.50
2.28;4.90;5.60;5.90
3.38;5.30;5.50;7.00
4.63;5.80;6.30;7.80
5.33;6.10;6.10;8.10
5.83;6.30;6.60;9.10
5.93;6.60;5.60;9.40
6.08;6.80;4.60;9.20
6.08;6.70;4.60;9.10
5.68;6.50;4.00;8.40
4.98;6.10;4.00;7.70
4.43;5.60;3.30;6.60
4.38;5.20;2.40;5.90
4.28;4.90;2.10;5.70
4.23;4.70;2.60;6.30
4.13;4.50;1.70;6.10
3.88;4.20;1.60;6.70
3.78;4.40;0.70;6.90
3.98;4.50;1.30;6.40
3.73;4.70;-0.20;4.60
3.43;4.80;0.20;3.10
3.73;4.90;-1.00;5.10
3.38;5.00;-1.70;5.00
3.18;5.70;0.00;5.90
3.08;6.70;0.50;6.70
3.23;7.60;0.30;8.30
3.48;8.20;2.00;8.90
3.03;9.10;4.30;9.10
2.93;9.80;6.10;8.60
2.88;10.20;7.30;9.10
2.83;10.30;7.60;8.50
2.18;11.00;8.20;8.80
2.18;11.50;6.60;7.50
2.23;11.60;5.90;7.40
2.08;11.50;6.50;7.10
1.98;11.00;5.60;6.90
1.93;10.30;5.90;6.10
1.83;9.70;5.60;6.10
2.08;9.20;2.80;4.90
2.33;8.70;4.30;5.30
2.13;8.20;3.70;4.30
1.93;7.60;3.50;4.40
1.73;6.90;4.00;4.10
1.38;6.60;3.80;3.80
1.28;6.30;4.60;3.60
1.38;6.00;2.40;3.40
1.18;6.00;3.10;3.20
1.78;6.30;3.20;3.60
3.33;6.70;3.40;4.00
4.38;7.20;4.10;4.10
4.98;7.60;5.50;4.30
5.63;8.10;6.10;4.60
6.48;8.60;7.10;4.70
6.93;8.90;8.30;4.70
7.18;9.10;7.00;4.70
7.18;9.20;8.60;5.00
7.13;9.20;9.10;5.20
7.08;9.10;8.50;5.20
6.28;8.80;8.20;5.50
4.53;8.30;5.90;5.30
3.48;8.10;4.60;4.90
2.63;7.20;2.70;4.70
1.63;6.40;3.40;4.40
0.98;5.50;1.30;3.80
0.63;4.70;0.00;2.30
0.58;4.00;-0.40;2.60
0.58;3.30;-0.90;2.50
0.08;2.90;-1.30;2.70
-0.02;2.50;-1.20;2.40
0.58;2.20;-1.80;3.10
0.48;2.20;-1.20;3.00
0.98;3.20;0.50;3.80
1.08;4.40;3.30;4.30
2.18;5.60;5.30;3.80
3.68;6.70;6.80;4.50
4.23;7.80;7.20;6.10
4.63;8.60;8.30;5.50
4.48;9.30;8.50;4.20
5.53;9.80;9.20;6.00
5.48;10.00;8.80;5.90
5.08;10.00;9.00;4.60
4.68;9.70;8.40;4.20
4.03;9.00;7.90;4.60
3.03;8.10;7.00;4.40
2.38;7.20;5.70;3.40
1.58;6.70;5.50;3.20
1.08;6.20;4.60;3.00
0.83;5.70;4.30;3.30
0.93;5.20;4.00;2.70
0.63;5.10;3.70;2.70
0.58;5.00;4.60;2.60
0.23;4.90;4.70;2.80
0.13;4.90;4.60;2.80
0.18;4.80;4.20;2.80
0.08;4.90;3.90;3.20
0.18;6.00;5.60;3.30
0.33;7.30;6.50;3.40
1.03;8.70;7.20;4.20
2.33;10.30;8.10;4.90
3.63;11.70;8.80;5.60
4.78;12.80;8.90;6.20
5.68;13.40;9.50;6.10
6.03;13.60;9.40;6.30
6.28;13.60;8.50;6.50
5.93;13.40;7.70;6.90
5.43;12.80;8.60;6.20
4.53;12.20;8.10;5.70
3.98;11.40;7.20;4.70
3.88;10.50;6.80;4.00
3.18;9.90;6.60;4.20
2.73;9.30;6.60;4.60
2.73;8.70;7.10;4.30
2.33;8.10;6.80;3.00
1.98;7.60;6.80;2.60
1.83;7.10;6.90;2.60
1.48;6.80;7.00;1.80
1.08;6.50;6.80;1.60
1.38;6.30;6.80;1.10
1.23;6.50;6.70;1.10
1.78;7.50;6.20;2.10
2.63;8.80;6.80;4.80
3.43;9.90;7.00;5.50
4.23;11.10;8.50;6.00
5.78;11.80;8.50;7.20
6.93;12.70;8.80;8.10
7.88;13.40;8.90;9.10
8.18;13.90;9.20;9.10
8.63;14.20;9.40;9.70
8.73;14.20;9.70;11.10
8.58;14.00;9.20;11.00
7.43;13.40;8.90;10.20
5.68;12.60;8.70;8.90
4.58;11.70;8.70;7.40
2.78;10.80;8.50;5.30
1.48;9.80;8.00;4.00
1.13;8.90;7.20;6.30
0.48;8.00;8.00;2.00
-0.12;7.40;8.20;0.60
-0.22;6.70;8.20;1.10
-0.57;6.30;7.90;3.10
-0.72;5.90;7.90;2.90
-0.92;5.70;7.40;1.30
-0.97;5.60;7.40;2.10
0.38;5.90;8.20;3.50
1.88;6.40;8.50;4.80
3.28;6.90;10.20;6.50
4.68;7.30;10.00;8.50
5.68;7.70;10.40;8.80
7.03;8.00;10.40;11.50
7.08;8.30;10.70;8.30
7.08;8.60;10.40;7.90
7.58;8.70;10.60;7.20
7.28;8.70;10.00;7.30
6.73;8.60;10.40;6.00
6.28;8.40;9.60;6.20
5.53;8.00;8.00;5.00
4.88;7.60;7.70;5.30
4.13;6.40;7.30;5.00
3.63;5.80;7.00;4.10
3.23;4.80;7.60;4.20
2.73;3.90;7.20;3.70
2.28;2.70;7.10;3.50
2.73;1.50;6.90;3.40
2.48;0.80;6.80;3.30
2.18;0.10;6.80;3.40
2.58;-0.40;7.10;3.10
2.33;-0.20;7.40;3.40
3.28;0.90;8.10;3.50
4.88;2.10;8.90;3.70
6.03;3.30;10.30;4.40
7.23;4.40;11.40;4.50
8.63;5.50;11.00;5.50
9.43;6.30;11.70;4.80
10.03;7.00;11.70;5.20
10.43;7.40;11.00;4.80
10.58;7.60;10.40;5.50
10.38;7.60;9.80;6.10
9.68;7.30;8.90;5.00
8.83;6.60;8.70;4.50
6.98;5.70;7.50;4.20
5.23;4.70;6.60;4.10
3.83;3.60;6.60;3.20
3.03;2.60;6.80;3.30
2.88;1.60;6.40;3.10
1.98;0.60;6.30;3.10
1.13;0.20;6.20;3.60
1.43;-0.30;6.00;3.60
1.13;-0.60;5.70;3.50
1.23;-0.80;5.80;3.60
1.63;-1.00;5.20;3.90
1.53;-0.60;5.50;3.20
1.83;0.60;5.70;3.50
2.28;2.00;6.10;4.40
3.48;3.40;6.40;5.90
5.23;4.70;6.60;5.80
5.23;6.00;6.60;5.50
5.28;7.10;8.30;5.00
6.18;7.90;7.40;3.70
6.83;8.50;6.70;4.20
5.98;8.80;6.90;4.40
5.48;8.90;6.40;4.80
5.43;8.50;6.20;5.10
4.68;7.90;5.90;5.90
4.08;6.90;5.70;5.60
4.18;5.80;5.50;5.40
3.73;4.80;5.40;5.00
3.73;3.70;5.10;5.10
3.88;2.60;5.20;5.00
3.78;1.50;4.80;4.60
3.48;0.60;4.90;4.70
2.73;-0.30;4.70;4.80
3.08;-0.90;4.50;4.70
2.38;-1.40;4.60;4.90
2.48;-1.80;4.60;4.20
2.43;-1.40;4.80;3.80
3.23;-0.20;4.80;4.00
3.78;1.00;5.00;3.90
4.38;2.30;5.60;4.30
5.08;3.50;6.40;4.80
5.48;4.50;7.00;5.60
6.13;5.40;7.90;5.90
6.18;6.10;8.40;5.10
5.88;6.60;8.50;4.30
5.93;6.80;8.30;5.30
5.83;6.80;8.00;3.70
5.58;6.40;7.90;2.70
4.98;5.70;7.80;2.20
4.03;4.80;6.90;3.30
3.08;3.70;7.00;2.10
2.03;3.00;6.50;2.70
0.93;2.40;5.90;1.80
0.38;1.70;5.30;1.70
-0.47;1.00;4.70;1.80
-0.92;0.80;4.50;1.70
-0.72;0.70;4.40;0.90
-0.37;0.60;4.30;0.60
-0.42;0.60;4.20;1.50
-0.22;0.60;4.10;0.70
0.13;0.70;4.00;1.30
1.13;0.80;4.20;1.30
1.88;0.90;4.90;0.90
3.03;1.00;5.80;1.60
4.28;1.10;6.60;2.50
5.23;1.10;7.10;2.30
5.88;1.60;7.50;1.80
6.23;1.70;8.90;2.10
6.53;3.10;8.90;1.30
5.53;3.90;9.40;0.60
5.33;4.50;9.60;2.20
5.58;4.80;8.80;2.50
5.23;4.80;8.50;2.40
4.03;4.70;7.90;1.60
3.63;4.20;5.50;0.90
2.83;4.00;6.00;0.60
2.23;3.70;5.30;0.20
2.23;3.30;3.80;1.40
1.73;3.00;2.90;1.60
1.38;2.60;2.40;2.00
1.58;2.10;1.60;2.20
1.38;1.80;1.20;2.80
1.08;1.60;0.20;2.70
0.93;1.60;-0.20;2.70
1.08;2.30;1.00;2.90
1.43;2.90;2.40;2.60
2.13;4.10;5.80;3.10
3.58;4.80;6.50;4.10
5.13;4.60;7.30;3.70
6.63;5.40;8.70;4.10
7.48;6.20;9.10;3.40
8.08;6.80;10.10;2.70
8.73;6.30;9.80;3.40
8.88;6.60;10.60;4.00
8.63;7.10;10.80;3.70
7.78;7.10;11.30;4.30
7.08;7.00;10.60;3.30
5.68;6.40;9.10;3.00
4.78;5.70;6.70;1.40
4.13;4.70;7.10;1.30
3.78;3.50;5.00;1.00
4.53;2.20;5.20;0.70
3.83;1.00;4.70;-0.10
2.98;0.00;4.40;-0.20
3.03;-1.10;2.60;-0.20
2.63;-1.70;1.70;-0.10
1.98;-2.10;0.80;0.00
2.78;-2.20;0.40;0.50
2.58;-1.90;1.80;0.10
2.98;-1.30;2.40;0.10
3.48;-0.50;5.30;-0.10
4.13;0.30;7.40;1.30
5.98;1.20;8.70;2.30
7.38;2.00;9.90;2.00
7.73;2.70;10.50;3.20
8.38;3.20;11.90;3.50
8.23;3.50;12.40;0.50
8.23;3.70;12.60;0.40
7.48;3.70;13.80;0.40
7.28;3.50;13.50;1.40
6.93;2.90;13.30;1.50
6.03;2.40;12.30;1.20
5.53;1.70;9.10;0.60
5.08;1.00;7.30;0.70
4.48;0.30;8.60;0.60
4.38;-0.40;8.00;0.10
4.23;-1.20;6.30;0.00
4.03;-1.40;4.90;-0.30
3.78;-1.70;3.20;-0.70
3.63;-1.90;2.30;-1.00
3.63;-2.30;1.70;-1.40
4.18;-2.10;2.30;-1.30
4.38;-2.00;2.80;-1.10
4.03;-1.40;3.30;-0.60
3.63;-0.90;5.60;0.20
3.98;0.50;8.70;0.90
4.53;1.40;9.80;1.40
5.43;2.10;11.70;1.30
5.93;1.90;12.90;2.40
6.43;2.30;13.80;2.50
6.73;2.30;14.00;2.90
7.18;2.20;14.30;1.80
7.38;2.10;13.90;3.60
7.03;2.30;14.30;2.50
6.38;2.30;13.40;1.90
5.03;1.90;12.60;1.70
3.68;1.40;10.00;1.00
2.73;0.60;8.20;0.80
1.98;-0.20;8.00;0.60
1.93;-1.00;7.20;0.10
1.28;-1.80;6.40;1.00
1.43;-2.40;4.50;1.50
1.78;-3.10;3.20;1.80
1.68;-3.40;2.30;0.30
2.08;-3.70;1.10;1.20
2.63;-3.70;1.10;1.40
2.73;-3.00;3.60;1.90
3.38;-1.90;3.80;2.40
3.98;-0.50;7.00;3.00
5.43;0.90;7.90;3.80
7.58;2.10;10.00;4.60
8.08;3.30;11.60;5.70
7.63;4.50;12.40;5.80
8.08;5.40;13.30;5.40
7.03;6.00;13.80;5.80
6.78;6.30;14.60;6.10
7.13;6.30;14.60;6.40
7.03;6.00;14.50;6.10
6.68;5.30;14.00;6.00
6.18;4.40;13.10;5.30
5.13;3.40;10.30;4.50
4.23;2.30;9.70;3.30
3.43;1.20;8.50;2.40
3.48;0.20;7.60;1.80
2.93;-0.90;7.10;1.60
2.58;-1.60;6.90;1.20
2.33;-2.40;5.30;-0.10
1.68;-2.80;3.90;-0.30
1.23;-3.10;2.30;-0.30
1.58;-3.10;2.50;-0.60
2.33;-2.50;2.20;-0.60
3.28;-1.50;3.70;0.20
4.13;-0.50;6.20;1.20
5.13;0.70;8.60;3.00
5.33;1.90;11.00;3.60
6.18;3.20;11.50;4.30
7.08;4.30;12.90;5.30
7.73;5.10;13.10;5.20
7.43;5.80;13.60;5.30
7.63;6.20;13.90;3.80
7.73;6.40;13.50;2.40
7.53;6.20;12.70;3.30
7.23;5.70;11.80;4.20
6.53;4.90;10.80;3.90
5.93;3.90;8.50;3.20
4.93;2.90;7.30;2.20
4.03;1.90;5.00;1.40
3.28;1.00;4.90;0.80
2.23;0.00;6.10;0.60
1.93;-0.50;5.20;0.40
1.43;-1.10;2.20;-0.30
0.98;-1.50;1.80;-0.50
0.63;-1.70;2.60;-1.00
0.28;-1.70;2.60;-1.50
0.78;-1.00;3.00;-0.70
2.33;0.10;5.50;1.00
3.58;1.60;6.40;2.50
4.93;3.20;7.80;3.20
6.23;4.50;7.30;3.80
7.18;5.80;7.10;4.90
8.33;6.90;7.60;4.30
9.18;7.60;7.80;6.20
9.88;8.00;4.50;5.50
10.73;8.20;4.30;6.00
10.98;8.00;4.50;6.90
10.98;7.60;4.50;6.60
10.48;6.90;4.50;6.00
9.33;6.00;4.10;5.20
8.03;5.00;3.70;3.30
6.43;3.90;3.20;2.70
5.33;2.80;2.90;2.60
4.63;1.80;2.50;2.00
4.23;0.70;2.40;1.60
3.53;0.00;2.20;1.30
3.38;-0.80;2.00;-0.90
3.58;-1.20;1.30;-0.40
3.13;-1.50;0.70;-1.10
2.38;-1.50;0.30;-1.90
2.48;-0.70;0.00;0.80
4.03;0.50;0.00;0.90
6.03;1.90;0.20;3.50
8.03;3.30;0.50;5.00
9.73;4.80;0.70;5.50
10.93;6.10;0.90;7.00
11.73;7.20;1.20;7.20
12.33;8.10;1.30;7.90
12.68;8.70;1.20;8.00
12.38;9.10;1.30;7.90
11.93;9.20;0.90;7.10
11.48;8.90;0.90;5.40
10.48;8.20;0.60;4.60
9.13;7.30;1.00;3.60
7.93;6.20;0.90;3.00
6.58;5.20;0.70;2.20
5.43;3.80;0.50;1.90
4.73;2.30;0.20;1.50
3.83;0.90;0.10;0.90
3.18;0.00;0.10;0.80
3.03;-1.10;0.00;0.20
2.43;-1.70;0.00;-0.10
2.13;-2.20;-0.20;-0.80
1.28;-2.20;0.00;-1.70
2.03;-1.30;0.20;-1.40
3.98;-0.20;1.50;-0.60
5.43;1.10;1.40;2.00
6.33;2.30;1.80;3.80
6.98;3.70;2.80;5.80
6.93;4.90;3.30;6.40
7.88;5.90;3.20;7.20
9.13;6.60;3.10;6.90
9.43;7.20;3.00;6.90
9.78;7.50;1.90;7.30
9.83;7.50;2.00;8.30
9.63;7.20;1.30;7.90
9.28;6.60;1.50;6.20
8.43;5.70;1.50;6.70
7.53;4.60;1.40;5.10
6.33;3.60;1.10;5.30
5.33;3.20;0.60;5.00
4.93;2.80;0.40;4.70
4.18;2.50;0.30;3.80
3.68;2.80;0.10;3.60
3.08;3.10;-0.20;3.60
2.53;3.30;-0.30;3.30
2.08;3.40;-0.70;1.80
1.63;3.50;-0.30;2.10
2.23;4.00;0.00;2.20
4.03;4.60;0.20;2.40
5.43;5.50;0.30;3.50
6.78;6.20;0.60;5.20
7.93;7.00;0.70;7.10
8.18;7.60;1.10;8.80
9.28;8.30;1.20;7.10
10.23;8.80;0.80;8.50
10.88;9.20;0.10;8.80
11.68;9.50;0.20;8.90
11.98;9.60;0.20;8.70
11.78;9.50;0.40;8.80
11.38;9.10;0.50;9.00
10.43;8.90;0.20;8.10
9.43;8.40;0.00;6.30
7.88;7.80;-0.10;6.30
6.68;7.00;0.00;6.10
6.38;6.10;-0.10;6.10
5.83;5.20;-0.20;6.20
5.73;4.20;-0.40;6.10
6.68;3.20;-0.70;5.80
6.43;2.60;-1.00;5.00
6.23;2.20;-0.70;5.20
6.38;2.50;-0.70;4.50
6.33;3.20;-0.50;5.80
7.08;3.50;-0.30;7.50
8.23;3.60;0.00;10.20
9.23;5.10;0.50;11.50
10.03;6.60;1.00;12.60
11.28;7.20;1.50;13.00
11.23;7.90;3.50;12.30
11.63;8.60;3.10;11.60
11.43;9.10;2.60;12.90
12.08;8.70;2.50;13.10
13.08;8.40;2.00;12.30
12.78;7.70;1.70;12.10
12.88;7.00;1.50;11.30
12.13;6.40;1.70;10.80
11.48;5.70;1.20;10.20
10.58;5.10;1.00;10.10
10.03;4.80;0.90;8.40
9.78;4.50;0.90;7.50
9.43;4.00;0.80;7.20
9.23;4.10;0.80;6.30
8.88;4.10;1.00;2.60
8.38;4.00;1.50;2.10
8.18;4.10;1.20;1.60
8.13;4.20;0.90;0.80
7.98;4.50;1.50;1.20
8.18;4.60;1.80;1.60
8.68;5.40;1.80;1.90
8.98;7.20;1.90;3.20
9.63;8.70;2.20;3.30
9.88;9.70;2.00;2.70
10.03;10.70;2.30;4.40
11.73;10.90;2.50;2.50
12.33;11.20;2.30;3.40
12.78;11.60;2.50;5.20
13.18;11.70;1.50;4.80
12.43;11.40;1.90;4.70
11.98;10.80;2.00;4.40
11.08;10.10;2.00;2.80
10.48;9.40;2.20;2.30
9.18;8.80;1.80;2.00
8.23;7.90;1.70;1.70
7.68;7.00;2.10;1.50
7.23;6.10;1.90;0.30
6.53;5.10;1.20;0.40
6.23;4.10;1.10;-1.10
6.08;3.60;0.90;-1.80
5.93;3.20;0.70;-1.60
5.88;3.20;0.50;-1.80
5.98;3.30;0.60;-0.30
6.93;3.80;0.70;1.20
7.88;4.30;2.00;2.30
8.03;4.80;3.00;3.30
8.53;5.30;4.30;4.60
10.48;5.80;4.20;4.80
12.28;6.10;5.10;4.90
13.18;6.30;5.50;5.00
15.33;5.70;5.70;6.10
17.03;6.30;6.90;6.40
16.63;6.30;5.70;5.80
15.48;6.30;6.50;5.50
14.63;6.00;6.50;5.60
14.03;5.70;5.80;5.80
13.38;5.30;4.10;5.40
13.08;4.60;3.20;4.90
13.03;3.70;2.50;4.50
13.08;2.40;1.60;4.30
12.83;1.20;0.10;4.30
12.63;0.50;-1.80;4.10
12.58;-0.30;0.10;4.10
12.43;-0.80;-1.50;4.00
12.38;-1.10;-1.80;3.80
12.83;-1.00;0.10;4.10
12.38;-0.40;1.00;4.30
12.13;0.30;0.30;4.90
12.23;1.10;-0.10;5.10
12.38;1.80;0.40;6.00
12.93;2.70;0.60;6.10
14.03;3.40;0.80;7.90
14.63;4.10;0.70;7.00
15.48;4.60;1.20;8.80
15.68;5.00;2.30;9.20
15.68;5.20;3.90;8.80
15.73;5.20;4.10;8.20
17.13;5.00;3.40;8.30
17.13;4.50;3.40;8.80
16.23;3.90;1.70;9.40
15.73;3.20;1.40;8.90
15.13;2.50;1.40;8.30
14.78;1.50;0.70;8.70
14.48;0.20;0.90;8.40
14.23;-0.70;0.60;8.00
13.73;-1.40;1.00;8.40
13.28;-2.20;0.50;8.20
12.83;-2.70;0.70;7.80
12.33;-3.00;1.20;7.90
11.98;-2.90;0.60;7.80
11.93;-2.10;0.50;7.70
12.68;-1.10;0.60;7.90
14.23;-0.20;1.00;8.10
15.73;0.90;0.80;8.10
16.98;1.90;0.30;8.20
18.43;2.70;1.00;8.30
18.98;3.40;0.70;8.80
19.63;4.00;2.20;9.00
20.33;4.40;3.10;10.00
20.13;4.50;3.10;10.20
19.43;4.50;2.10;10.40
19.02;4.20;2.10;7.40
18.01;3.70;2.50;7.10
17.00;2.90;2.40;6.90
15.99;2.10;2.30;6.70
14.98;1.30;2.10;6.40
13.97;1.00;1.70;5.70
12.96;0.90;1.80;4.40
11.95;0.70;1.50;3.40
10.94;1.10;1.50;3.30
9.93;1.50;1.40;2.80
8.93;1.70;1.50;2.80
7.92;1.80;1.50;2.30
6.91;2.00;1.50;2.10
5.90;2.60;1.70;1.90
4.89;3.30;1.80;2.70
3.88;4.10;2.90;2.80
9.28;4.90;2.20;2.60
10.18;5.60;3.30;3.70
10.88;6.40;3.60;3.30
11.68;7.10;3.30;3.60
12.43;7.70;4.20;1.70
12.83;8.10;2.70;3.80
12.83;8.30;2.90;4.30
12.78;8.30;1.80;4.10
12.53;8.20;3.00;4.50
12.23;7.70;3.90;3.00
11.28;7.40;3.80;2.80
10.53;6.90;2.70;3.10
9.38;6.30;2.60;2.40
8.58;5.70;2.60;1.90
8.78;5.20;1.20;0.50
8.03;4.60;1.10;0.40
7.68;4.10;1.20;0.70
7.83;3.40;1.50;1.00
7.03;3.10;1.70;0.70
